date,state,district,pincode,age_0_5,age_5_17,age_18_greater
13-09-2025,Uttar Pradesh,Varanasi,221307,4,6,0
13-09-2025,Uttar Pradesh,Varanasi,221311,0,1,0
13-09-2025,Uttar Pradesh,Varanasi,221403,3,2,0
15-09-2025,Uttar Pradesh,Varanasi,221002,3,4,0
15-09-2025,Uttar Pradesh,Varanasi,221006,1,0,0
15-09-2025,Uttar Pradesh,Varanasi,221106,1,0,0
15-09-2025,Uttar Pradesh,Varanasi,221109,2,0,0
15-09-2025,Uttar Pradesh,Varanasi,221112,0,4,0
15-09-2025,Uttar Pradesh,Varanasi,221313,2,0,0
15-09-2025,Uttar Pradesh,Varanasi,221403,1,1,0
16-09-2025,Uttar Pradesh,Varanasi,221002,6,4,0
16-09-2025,Uttar Pradesh,Varanasi,221006,0,2,0
16-09-2025,Uttar Pradesh,Varanasi,221010,1,3,0
16-09-2025,Uttar Pradesh,Varanasi,221101,3,6,0
16-09-2025,Uttar Pradesh,Varanasi,221103,2,0,0
16-09-2025,Uttar Pradesh,Varanasi,221207,1,3,0
16-09-2025,Uttar Pradesh,Varanasi,221209,0,1,0
16-09-2025,Uttar Pradesh,Varanasi,221302,0,4,0
19-09-2025,Uttar Pradesh,Varanasi,221008,1,5,0
19-09-2025,Uttar Pradesh,Varanasi,221010,8,4,0
19-09-2025,Uttar Pradesh,Varanasi,221109,1,2,0
19-09-2025,Uttar Pradesh,Varanasi,221403,3,9,0
17-09-2025,Uttar Pradesh,Varanasi,221105,2,4,0
17-09-2025,Uttar Pradesh,Varanasi,221109,1,0,0
17-09-2025,Uttar Pradesh,Varanasi,221311,1,3,0
18-09-2025,Uttar Pradesh,Varanasi,221002,5,12,0
18-09-2025,Uttar Pradesh,Varanasi,221005,2,3,0
18-09-2025,Uttar Pradesh,Varanasi,221112,4,1,0
18-09-2025,Uttar Pradesh,Varanasi,221202,1,1,0
18-09-2025,Uttar Pradesh,Varanasi,221207,0,1,0
18-09-2025,Uttar Pradesh,Varanasi,221208,6,4,0
18-09-2025,Uttar Pradesh,Varanasi,221210,2,1,0
18-09-2025,Uttar Pradesh,Varanasi,221302,3,4,0
18-09-2025,Uttar Pradesh,Varanasi,221311,1,3,0
18-09-2025,Uttar Pradesh,Varanasi,221403,1,13,0
22-09-2025,Uttar Pradesh,Varanasi,221003,5,4,0
22-09-2025,Uttar Pradesh,Varanasi,221008,0,2,0
22-09-2025,Uttar Pradesh,Varanasi,221010,2,5,0
22-09-2025,Uttar Pradesh,Varanasi,221106,2,2,0
22-09-2025,Uttar Pradesh,Varanasi,221108,1,3,0
22-09-2025,Uttar Pradesh,Varanasi,221116,0,4,0
22-09-2025,Uttar Pradesh,Varanasi,221307,0,8,0
20-09-2025,Uttar Pradesh,Varanasi,221001,10,9,0
20-09-2025,Uttar Pradesh,Varanasi,221003,3,2,0
20-09-2025,Uttar Pradesh,Varanasi,221008,2,5,0
20-09-2025,Uttar Pradesh,Varanasi,221011,4,5,0
20-09-2025,Uttar Pradesh,Varanasi,221107,3,9,0
20-09-2025,Uttar Pradesh,Varanasi,221207,1,2,0
20-09-2025,Uttar Pradesh,Varanasi,221305,1,0,0
21-09-2025,Uttar Pradesh,Varanasi,221001,0,1,0
25-09-2025,Uttar Pradesh,Varanasi,221001,12,16,0
25-09-2025,Uttar Pradesh,Varanasi,221010,5,1,0
25-09-2025,Uttar Pradesh,Varanasi,221011,0,2,0
25-09-2025,Uttar Pradesh,Varanasi,221103,1,4,0
25-09-2025,Uttar Pradesh,Varanasi,221313,0,2,0
25-09-2025,Uttar Pradesh,Varanasi,221403,3,5,0
24-09-2025,Uttar Pradesh,Varanasi,221007,3,7,0
24-09-2025,Uttar Pradesh,Varanasi,221107,8,2,0
24-09-2025,Uttar Pradesh,Varanasi,221109,0,2,0
24-09-2025,Uttar Pradesh,Varanasi,221116,2,4,0
24-09-2025,Uttar Pradesh,Varanasi,221305,6,2,0
24-09-2025,Uttar Pradesh,Varanasi,221307,3,4,0
24-09-2025,Uttar Pradesh,Varanasi,221403,0,8,0
24-09-2025,Uttar Pradesh,Varanasi,221405,1,7,0
23-09-2025,Uttar Pradesh,Varanasi,221105,4,7,0
23-09-2025,Uttar Pradesh,Varanasi,221210,0,1,0
27-09-2025,Uttar Pradesh,Varanasi,221104,3,0,0
27-09-2025,Uttar Pradesh,Varanasi,221108,1,0,0
27-09-2025,Uttar Pradesh,Varanasi,221202,1,1,0
27-09-2025,Uttar Pradesh,Varanasi,221302,0,2,0
29-09-2025,Uttar Pradesh,Varanasi,221010,0,2,0
29-09-2025,Uttar Pradesh,Varanasi,221202,0,1,0
29-09-2025,Uttar Pradesh,Varanasi,221307,1,0,0
26-09-2025,Uttar Pradesh,Varanasi,221004,2,0,0
26-09-2025,Uttar Pradesh,Varanasi,221006,1,0,0
26-09-2025,Uttar Pradesh,Varanasi,221008,1,2,0
26-09-2025,Uttar Pradesh,Varanasi,221202,0,1,0
26-09-2025,Uttar Pradesh,Varanasi,221210,0,1,0
26-09-2025,Uttar Pradesh,Varanasi,221311,0,1,0
30-09-2025,Uttar Pradesh,Varanasi,221201,0,1,0
26-10-2025,Uttar Pradesh,Varanasi,221005,1,1,0
26-10-2025,Uttar Pradesh,Varanasi,221008,1,2,0
26-10-2025,Uttar Pradesh,Varanasi,221105,0,4,0
26-10-2025,Uttar Pradesh,Varanasi,221111,0,1,0
26-10-2025,Uttar Pradesh,Varanasi,221302,3,3,0
26-10-2025,Uttar Pradesh,Varanasi,221307,3,7,0
13-10-2025,Uttar Pradesh,Varanasi,221001,13,13,0
13-10-2025,Uttar Pradesh,Varanasi,221010,6,2,0
13-10-2025,Uttar Pradesh,Varanasi,221011,6,2,0
13-10-2025,Uttar Pradesh,Varanasi,221206,4,0,0
13-10-2025,Uttar Pradesh,Varanasi,221307,4,2,0
13-10-2025,Uttar Pradesh,Varanasi,221311,1,4,0
15-10-2025,Uttar Pradesh,Varanasi,221003,4,8,0
15-10-2025,Uttar Pradesh,Varanasi,221005,1,4,0
15-10-2025,Uttar Pradesh,Varanasi,221011,2,1,0
15-10-2025,Uttar Pradesh,Varanasi,221106,2,3,0
15-10-2025,Uttar Pradesh,Varanasi,221109,0,2,0
15-10-2025,Uttar Pradesh,Varanasi,221302,1,1,0
15-10-2025,Uttar Pradesh,Varanasi,221307,0,7,0
15-10-2025,Uttar Pradesh,Varanasi,221311,3,3,0
16-10-2025,Uttar Pradesh,Varanasi,221104,1,4,0
16-10-2025,Uttar Pradesh,Varanasi,221106,0,1,0
16-10-2025,Uttar Pradesh,Varanasi,221201,1,1,0
16-10-2025,Uttar Pradesh,Varanasi,221210,0,1,0
17-10-2025,Uttar Pradesh,Varanasi,221007,5,13,0
17-10-2025,Uttar Pradesh,Varanasi,221107,8,17,0
17-10-2025,Uttar Pradesh,Varanasi,221109,3,2,0
17-10-2025,Uttar Pradesh,Varanasi,221112,2,3,0
17-10-2025,Uttar Pradesh,Varanasi,221206,1,7,0
17-10-2025,Uttar Pradesh,Varanasi,221311,4,6,0
17-10-2025,Uttar Pradesh,Varanasi,221403,6,15,0
20-10-2025,Uttar Pradesh,Varanasi,221010,0,1,0
20-10-2025,Uttar Pradesh,Varanasi,221103,1,0,0
19-10-2025,Uttar Pradesh,Varanasi,221011,4,3,0
19-10-2025,Uttar Pradesh,Varanasi,221106,1,0,0
19-10-2025,Uttar Pradesh,Varanasi,221201,0,2,0
19-10-2025,Uttar Pradesh,Varanasi,221305,1,1,0
19-10-2025,Uttar Pradesh,Varanasi,221405,2,4,0
18-10-2025,Uttar Pradesh,Varanasi,221002,4,0,0
18-10-2025,Uttar Pradesh,Varanasi,221004,3,1,0
18-10-2025,Uttar Pradesh,Varanasi,221010,4,3,0
18-10-2025,Uttar Pradesh,Varanasi,221206,4,5,0
18-10-2025,Uttar Pradesh,Varanasi,221207,1,2,0
18-10-2025,Uttar Pradesh,Varanasi,221210,0,1,0
18-10-2025,Uttar Pradesh,Varanasi,221307,5,1,0
18-10-2025,Uttar Pradesh,Varanasi,221313,1,2,0
21-10-2025,Uttar Pradesh,Varanasi,221403,0,2,0
24-10-2025,Uttar Pradesh,Varanasi,221003,2,1,0
24-10-2025,Uttar Pradesh,Varanasi,221005,3,1,0
24-10-2025,Uttar Pradesh,Varanasi,221104,3,2,0
24-10-2025,Uttar Pradesh,Varanasi,221105,2,0,0
24-10-2025,Uttar Pradesh,Varanasi,221307,2,0,0
25-10-2025,Uttar Pradesh,Varanasi,221006,0,1,0
25-10-2025,Uttar Pradesh,Varanasi,221010,2,3,0
25-10-2025,Uttar Pradesh,Varanasi,221011,3,0,0
25-10-2025,Uttar Pradesh,Varanasi,221112,1,1,0
25-10-2025,Uttar Pradesh,Varanasi,221206,3,1,0
25-10-2025,Uttar Pradesh,Varanasi,221207,1,3,0
25-10-2025,Uttar Pradesh,Varanasi,221208,2,2,0
27-10-2025,Uttar Pradesh,Varanasi,221103,0,1,0
27-10-2025,Uttar Pradesh,Varanasi,221107,1,0,0
28-10-2025,Uttar Pradesh,Varanasi,221001,8,7,0
28-10-2025,Uttar Pradesh,Varanasi,221003,3,4,0
28-10-2025,Uttar Pradesh,Varanasi,221101,6,1,0
28-10-2025,Uttar Pradesh,Varanasi,221208,5,1,0
28-10-2025,Uttar Pradesh,Varanasi,221311,0,3,0
29-10-2025,Uttar Pradesh,Varanasi,221003,4,4,0
29-10-2025,Uttar Pradesh,Varanasi,221006,1,0,0
29-10-2025,Uttar Pradesh,Varanasi,221011,0,1,0
29-10-2025,Uttar Pradesh,Varanasi,221201,0,1,0
29-10-2025,Uttar Pradesh,Varanasi,221208,0,1,0
29-10-2025,Uttar Pradesh,Varanasi,221307,3,2,0
29-10-2025,Uttar Pradesh,Varanasi,221311,1,3,0
30-10-2025,Uttar Pradesh,Varanasi,221001,30,29,0
30-10-2025,Uttar Pradesh,Varanasi,221011,2,7,0
30-10-2025,Uttar Pradesh,Varanasi,221101,8,22,0
30-10-2025,Uttar Pradesh,Varanasi,221103,5,1,0
30-10-2025,Uttar Pradesh,Varanasi,221104,13,19,0
30-10-2025,Uttar Pradesh,Varanasi,221107,7,17,0
30-10-2025,Uttar Pradesh,Varanasi,221108,3,7,0
30-10-2025,Uttar Pradesh,Varanasi,221109,1,1,0
30-10-2025,Uttar Pradesh,Varanasi,221112,2,1,0
30-10-2025,Uttar Pradesh,Varanasi,221116,1,1,0
30-10-2025,Uttar Pradesh,Varanasi,221201,2,6,0
30-10-2025,Uttar Pradesh,Varanasi,221202,3,5,0
30-10-2025,Uttar Pradesh,Varanasi,221311,7,6,0
01-11-2025,Uttar Pradesh,Varanasi,221007,2,1,0
01-11-2025,Uttar Pradesh,Varanasi,221011,1,1,0
01-11-2025,Uttar Pradesh,Varanasi,221302,1,0,0
02-11-2025,Uttar Pradesh,Varanasi,221001,18,15,0
02-11-2025,Uttar Pradesh,Varanasi,221006,1,0,0
02-11-2025,Uttar Pradesh,Varanasi,221104,8,7,0
02-11-2025,Uttar Pradesh,Varanasi,221109,10,4,0
02-11-2025,Uttar Pradesh,Varanasi,221201,4,0,0
02-11-2025,Uttar Pradesh,Varanasi,221204,3,2,0
02-11-2025,Uttar Pradesh,Varanasi,221207,1,1,0
02-11-2025,Uttar Pradesh,Varanasi,221302,5,2,0
02-11-2025,Uttar Pradesh,Varanasi,221305,1,1,0
31-10-2025,Uttar Pradesh,Varanasi,221001,10,16,1
31-10-2025,Uttar Pradesh,Varanasi,221002,5,9,0
31-10-2025,Uttar Pradesh,Varanasi,221004,3,2,0
31-10-2025,Uttar Pradesh,Varanasi,221101,7,7,0
31-10-2025,Uttar Pradesh,Varanasi,221104,6,5,0
31-10-2025,Uttar Pradesh,Varanasi,221106,4,3,0
31-10-2025,Uttar Pradesh,Varanasi,221206,6,6,0
12-11-2025,Uttar Pradesh,Varanasi,221103,0,2,0
12-11-2025,Uttar Pradesh,Varanasi,221302,0,1,0
10-11-2025,Uttar Pradesh,Varanasi,221005,5,2,0
10-11-2025,Uttar Pradesh,Varanasi,221006,1,0,0
10-11-2025,Uttar Pradesh,Varanasi,221007,10,2,0
10-11-2025,Uttar Pradesh,Varanasi,221201,2,3,0
10-11-2025,Uttar Pradesh,Varanasi,221206,0,2,0
10-11-2025,Uttar Pradesh,Varanasi,221208,1,1,0
10-11-2025,Uttar Pradesh,Varanasi,221403,3,7,0
11-11-2025,Uttar Pradesh,Varanasi,221001,13,6,0
11-11-2025,Uttar Pradesh,Varanasi,221007,2,3,0
11-11-2025,Uttar Pradesh,Varanasi,221103,1,0,0
11-11-2025,Uttar Pradesh,Varanasi,221104,1,3,0
11-11-2025,Uttar Pradesh,Varanasi,221105,1,3,0
11-11-2025,Uttar Pradesh,Varanasi,221109,1,6,0
11-11-2025,Uttar Pradesh,Varanasi,221116,0,1,0
11-11-2025,Uttar Pradesh,Varanasi,221201,2,1,0
11-11-2025,Uttar Pradesh,Varanasi,221206,3,2,0
11-11-2025,Uttar Pradesh,Varanasi,221302,1,2,0
16-11-2025,Uttar Pradesh,Varanasi,221003,2,4,0
16-11-2025,Uttar Pradesh,Varanasi,221104,2,9,0
16-11-2025,Uttar Pradesh,Varanasi,221108,1,3,0
16-11-2025,Uttar Pradesh,Varanasi,221112,0,1,0
16-11-2025,Uttar Pradesh,Varanasi,221116,3,1,0
16-11-2025,Uttar Pradesh,Varanasi,221302,2,2,0
16-11-2025,Uttar Pradesh,Varanasi,221403,2,3,0
15-11-2025,Uttar Pradesh,Varanasi,221005,10,4,0
15-11-2025,Uttar Pradesh,Varanasi,221008,5,6,0
15-11-2025,Uttar Pradesh,Varanasi,221104,5,15,0
15-11-2025,Uttar Pradesh,Varanasi,221106,4,3,0
15-11-2025,Uttar Pradesh,Varanasi,221109,2,1,0
15-11-2025,Uttar Pradesh,Varanasi,221112,1,0,0
15-11-2025,Uttar Pradesh,Varanasi,221311,1,5,0
15-11-2025,Uttar Pradesh,Varanasi,221405,8,5,0
03-11-2025,Uttar Pradesh,Varanasi,221103,0,1,0
03-11-2025,Uttar Pradesh,Varanasi,221105,0,2,0
03-11-2025,Uttar Pradesh,Varanasi,221106,1,2,0
03-11-2025,Uttar Pradesh,Varanasi,221107,1,3,0
03-11-2025,Uttar Pradesh,Varanasi,221204,1,3,0
03-11-2025,Uttar Pradesh,Varanasi,221207,1,0,0
03-11-2025,Uttar Pradesh,Varanasi,221405,1,1,0
05-11-2025,Uttar Pradesh,Varanasi,221008,2,3,0
05-11-2025,Uttar Pradesh,Varanasi,221103,1,2,0
05-11-2025,Uttar Pradesh,Varanasi,221104,10,4,0
05-11-2025,Uttar Pradesh,Varanasi,221106,1,2,0
05-11-2025,Uttar Pradesh,Varanasi,221107,4,3,0
05-11-2025,Uttar Pradesh,Varanasi,221112,2,3,0
05-11-2025,Uttar Pradesh,Varanasi,221204,1,2,0
05-11-2025,Uttar Pradesh,Varanasi,232104,1,0,0
07-11-2025,Uttar Pradesh,Varanasi,221002,1,2,0
07-11-2025,Uttar Pradesh,Varanasi,221207,1,2,0
07-11-2025,Uttar Pradesh,Varanasi,221405,2,1,0
06-11-2025,Uttar Pradesh,Varanasi,221002,3,0,0
06-11-2025,Uttar Pradesh,Varanasi,221007,4,3,0
06-11-2025,Uttar Pradesh,Varanasi,221011,2,2,0
06-11-2025,Uttar Pradesh,Varanasi,221106,1,0,0
06-11-2025,Uttar Pradesh,Varanasi,221204,1,2,0
06-11-2025,Uttar Pradesh,Varanasi,221206,2,2,0
09-11-2025,Uttar Pradesh,Varanasi,221001,11,6,0
09-11-2025,Uttar Pradesh,Varanasi,221101,3,1,0
09-11-2025,Uttar Pradesh,Varanasi,221103,0,1,0
09-11-2025,Uttar Pradesh,Varanasi,221104,1,5,0
09-11-2025,Uttar Pradesh,Varanasi,221305,1,0,0
09-11-2025,Uttar Pradesh,Varanasi,221307,1,2,0
08-11-2025,Uttar Pradesh,Varanasi,221002,5,6,0
08-11-2025,Uttar Pradesh,Varanasi,221007,10,10,0
08-11-2025,Uttar Pradesh,Varanasi,221105,2,4,0
08-11-2025,Uttar Pradesh,Varanasi,221106,3,0,0
08-11-2025,Uttar Pradesh,Varanasi,221302,0,2,0
08-11-2025,Uttar Pradesh,Varanasi,221305,2,0,0
08-11-2025,Uttar Pradesh,Varanasi,221311,1,3,0
14-11-2025,Uttar Pradesh,Varanasi,221107,0,7,0
14-11-2025,Uttar Pradesh,Varanasi,221116,1,0,0
13-11-2025,Uttar Pradesh,Varanasi,221006,0,1,0
13-11-2025,Uttar Pradesh,Varanasi,221007,2,4,0
13-11-2025,Uttar Pradesh,Varanasi,221202,0,3,0
13-11-2025,Uttar Pradesh,Varanasi,221208,1,3,0
13-11-2025,Uttar Pradesh,Varanasi,221302,1,1,0
13-11-2025,Uttar Pradesh,Varanasi,221307,4,3,0
13-11-2025,Uttar Pradesh,Varanasi,221403,2,3,0
18-11-2025,Uttar Pradesh,Varanasi,221001,14,14,2
18-11-2025,Uttar Pradesh,Varanasi,221003,8,4,0
18-11-2025,Uttar Pradesh,Varanasi,221006,1,1,0
18-11-2025,Uttar Pradesh,Varanasi,221109,0,2,0
18-11-2025,Uttar Pradesh,Varanasi,221204,4,5,0
17-11-2025,Uttar Pradesh,Varanasi,221011,1,1,0
17-11-2025,Uttar Pradesh,Varanasi,221116,1,0,0
17-11-2025,Uttar Pradesh,Varanasi,221204,1,1,0
17-11-2025,Uttar Pradesh,Varanasi,221207,0,1,0
25-11-2025,Uttar Pradesh,Varanasi,221003,6,6,0
25-11-2025,Uttar Pradesh,Varanasi,221010,2,3,0
25-11-2025,Uttar Pradesh,Varanasi,221105,5,2,0
25-11-2025,Uttar Pradesh,Varanasi,221307,0,4,0
19-11-2025,Uttar Pradesh,Varanasi,221003,12,8,0
19-11-2025,Uttar Pradesh,Varanasi,221004,1,1,0
19-11-2025,Uttar Pradesh,Varanasi,221006,1,0,0
19-11-2025,Uttar Pradesh,Varanasi,221104,13,14,0
19-11-2025,Uttar Pradesh,Varanasi,221302,3,4,0
19-11-2025,Uttar Pradesh,Varanasi,221305,1,2,0
15-12-2025,Uttar Pradesh,Varanasi,221106,2,6,0
15-12-2025,Uttar Pradesh,Varanasi,221116,1,3,0
15-12-2025,Uttar Pradesh,Varanasi,221204,4,5,0
22-12-2025,Uttar Pradesh,Varanasi,221008,3,0,0
22-12-2025,Uttar Pradesh,Varanasi,221010,20,0,0
22-12-2025,Uttar Pradesh,Varanasi,221101,10,0,0
22-12-2025,Uttar Pradesh,Varanasi,221106,3,0,0
22-12-2025,Uttar Pradesh,Varanasi,221108,6,0,0
22-12-2025,Uttar Pradesh,Varanasi,221305,1,0,0
21-12-2025,Uttar Pradesh,Varanasi,221007,6,0,0
21-12-2025,Uttar Pradesh,Varanasi,221010,1,0,0
21-12-2025,Uttar Pradesh,Varanasi,221112,1,0,0
21-12-2025,Uttar Pradesh,Varanasi,221204,1,0,0
21-12-2025,Uttar Pradesh,Varanasi,221207,2,0,0
21-12-2025,Uttar Pradesh,Varanasi,221208,1,0,0
21-12-2025,Uttar Pradesh,Varanasi,221311,3,0,0
21-12-2025,Uttar Pradesh,Varanasi,221405,1,0,0
24-12-2025,Uttar Pradesh,Varanasi,221002,6,0,2
24-12-2025,Uttar Pradesh,Varanasi,221005,4,3,0
24-12-2025,Uttar Pradesh,Varanasi,221008,0,1,0
24-12-2025,Uttar Pradesh,Varanasi,221105,6,0,0
24-12-2025,Uttar Pradesh,Varanasi,221108,3,0,0
24-12-2025,Uttar Pradesh,Varanasi,221109,1,1,5
24-12-2025,Uttar Pradesh,Varanasi,221201,1,2,0
24-12-2025,Uttar Pradesh,Varanasi,221202,0,3,0
24-12-2025,Uttar Pradesh,Varanasi,221204,2,2,0
23-12-2025,Uttar Pradesh,Varanasi,221001,19,0,0
23-12-2025,Uttar Pradesh,Varanasi,221007,6,0,0
23-12-2025,Uttar Pradesh,Varanasi,221107,1,0,0
23-12-2025,Uttar Pradesh,Varanasi,221202,3,0,0
23-12-2025,Uttar Pradesh,Varanasi,221207,1,0,0
23-12-2025,Uttar Pradesh,Varanasi,221403,3,0,0
27-12-2025,Uttar Pradesh,Varanasi,221003,3,3,0
27-12-2025,Uttar Pradesh,Varanasi,221005,2,1,0
27-12-2025,Uttar Pradesh,Varanasi,221106,0,1,0
27-12-2025,Uttar Pradesh,Varanasi,221109,1,0,0
27-12-2025,Uttar Pradesh,Varanasi,221204,2,2,0
25-12-2025,Uttar Pradesh,Varanasi,221003,3,8,0
25-12-2025,Uttar Pradesh,Varanasi,221008,4,2,0
25-12-2025,Uttar Pradesh,Varanasi,221103,1,0,0
25-12-2025,Uttar Pradesh,Varanasi,221201,2,5,0
25-12-2025,Uttar Pradesh,Varanasi,221206,0,2,0
25-12-2025,Uttar Pradesh,Varanasi,221207,1,2,0
25-12-2025,Uttar Pradesh,Varanasi,221305,1,2,0
25-12-2025,Uttar Pradesh,Varanasi,221307,2,6,0
26-12-2025,Uttar Pradesh,Varanasi,221005,0,3,0
26-12-2025,Uttar Pradesh,Varanasi,221007,20,7,0
26-12-2025,Uttar Pradesh,Varanasi,221108,0,2,0
26-12-2025,Uttar Pradesh,Varanasi,221109,2,1,0
26-12-2025,Uttar Pradesh,Varanasi,221201,0,3,0
26-12-2025,Uttar Pradesh,Varanasi,221208,1,0,0
28-12-2025,Uttar Pradesh,Varanasi,221001,2,1,0
28-12-2025,Uttar Pradesh,Varanasi,221005,1,2,0
28-12-2025,Uttar Pradesh,Varanasi,221104,2,0,0
28-12-2025,Uttar Pradesh,Varanasi,221201,0,1,0
28-12-2025,Uttar Pradesh,Varanasi,221208,4,0,0
29-12-2025,Uttar Pradesh,Varanasi,221002,3,2,0
29-12-2025,Uttar Pradesh,Varanasi,221007,6,2,0
29-12-2025,Uttar Pradesh,Varanasi,221011,2,1,0
29-12-2025,Uttar Pradesh,Varanasi,221104,4,2,0
29-12-2025,Uttar Pradesh,Varanasi,221204,2,0,0
29-12-2025,Uttar Pradesh,Varanasi,221207,0,2,0
29-12-2025,Uttar Pradesh,Varanasi,221208,1,0,0
29-12-2025,Uttar Pradesh,Varanasi,221302,2,2,0
29-12-2025,Uttar Pradesh,Varanasi,221313,1,0,0
